ColumnIndex,ColumnName
0,GameID
1,Date
2,GameNumber
3,DayOfWeek
4,StartTime
5,DHUsedFlag
6,DayNightFlag
7,VisitingTeam
8,HomeTeam
9,GameSite
10,VisitorStartingPitcher
11,HomeStartingPitcher
12,HomePlateUmpire
13,FirstBaseUmpire
14,SecondBaseUmpire
15,ThirdBaseUmpire
16,LeftFieldUmpire
17,RightFieldUmpire
18,Attendance
19,PSScorer
20,Translator
21,Inputter
22,InputTime
23,EditTime
24,HowScored
25,PitchesEntered
26,Temperature
27,WindDirection
28,WindSpeed
29,FieldCondition
30,Precipitation
31,Sky
32,TimeOfGame
33,NumberOfInnings
34,VisitorFinalScore
35,HomeFinalScore
36,VisitorHits
37,HomeHits
38,VisitorErrors
39,HomeErrors
40,VisitorLeftOnBase
41,HomeLeftOnBase
42,WinningPitcher
43,LosingPitcher
44,SaveFor
45,GWRBI
46,VisitorBatter1
47,VisitorPosition1
48,VisitorBatter2
49,VisitorPosition2
50,VisitorBatter3
51,VisitorPosition3
52,VisitorBatter4
53,VisitorPosition4
54,VisitorBatter5
55,VisitorPosition5
56,VisitorBatter6
57,VisitorPosition6
58,VisitorBatter7
59,VisitorPosition7
60,VisitorBatter8
61,VisitorPosition8
62,VisitorBatter9
63,VisitorPosition9
64,HomeBatter1
65,HomePosition1
66,HomeBatter2
67,HomePosition2
68,HomeBatter3
69,HomePosition3
70,HomeBatter4
71,HomePosition4
72,HomeBatter5
73,HomePosition5
74,HomeBatter6
75,HomePosition6
76,HomeBatter7
77,HomePosition7
78,HomeBatter8
79,HomePosition8
80,HomeBatter9
81,HomePosition9
82,VisitingFinisher
83,HomeFinisher
84,OfficialScorer
85,GameType